index,TopPosition,Latitude,Longitude,N_like,N_comments,N_post,N_like_medio,Turism_Porcentaje
57,kaf-cafe-benimaclet,39.4850083,-0.3564722,712.0,47,557,1.2782764811490126,57.14285714285714
42,farmacia-alboraya-46,39.487346,-0.32607040000000004,673.0,49,75,8.973333333333333,52.94117647058824
6,avenida-del-regne-de-valencia,39.462057200000004,-0.3605614,117.0,1,305,0.3836065573770492,50.0
66,lodisea,39.472680700000005,-0.38061690000000004,74.0,4,240,0.30833333333333335,50.0
117,torre-de-paterna,39.50284565,-0.4400183487499999,383.0,14,13,29.46153846153846,50.0
48,hospital-clinico-universitario-de-valencia,39.47899465,-0.3619869553577193,899.0,43,28,32.107142857142854,50.0
20,calle-de-la-paz,39.4733113,-0.3731981,1676.0,57,119,14.084033613445378,50.0
76,palacio-de-congresos-de-valencia,39.49621895,-0.4020373104423828,1024.0,28,42,24.38095238095238,50.0
43,fnac-san-agustin-valencia,39.4676496,-0.3803788,74.0,2,19,3.8947368421052633,50.0
55,jardines-de-viveros-valencia,39.48050755,-0.3678048671087727,67.0,2,550,0.12181818181818181,50.0
114,teatro-flumen,39.4828105,-0.38534150334224493,1029.0,57,935,1.1005347593582888,43.75
56,jardines-del-palau,39.46534425,-0.36008123621673066,269.0,14,13,20.692307692307693,40.0
104,puente-de-las-flores,39.4707361,-0.3650816,2064.0,52,28,73.71428571428571,37.5
103,portolito,39.4636691,-0.323133,278.0,11,903,0.3078626799557032,33.33333333333333
22,calle-quart-valencia,39.475304,-0.3867755,913.0,25,13,70.23076923076923,33.33333333333333
12,betero,39.47257929999999,-0.3349228,240.0,11,315,0.7619047619047619,33.33333333333333
83,pianos-clemente,39.4769408,-0.3976817,13.0,1,94,0.13829787234042554,0.0
58,la-genuina,39.4227706,-0.3404649,95.0,6,17,5.588235294117647,0.0
120,universitat-politecnica-de-valencia-upv,39.481481200000005,-0.3443494,432.0,24,20,21.6,0.0
51,iglesia-de-san-juan-del-hospital,39.4743215,-0.3730150958082991,287.0,13,21,13.666666666666666,0.0
108,restaurante-marina-alta-5,39.4905381,-0.40194240000000003,134.0,1,159,0.8427672955974843,0.0
33,dulce-de-leche-boutique,39.4604528,-0.37616209999999994,610.0,36,17,35.88235294117647,0.0
